id,categorie,sujet,contenu,niveau_requis
1,Bestiaire,Loup Spectral,Apparaît uniquement les nuits de pleine lune dans la forêt d'Argent.,1
2,Equipement,Épée de Bronze,Peut être forgée par le forgeron du village avec 3 lingots.,1
3,Lore,Le Grand Cataclysme,Il y a 500 ans le ciel s'est déchiré libérant la magie noire.,5
4,Astuce,Soin Rapide,Manger des baies rouges redonne 10 points de vie instantanément.,1
5,Lieu,Ruines d'Orizon,Un ancien temple caché derrière la cascade du nord.,10
6,Bestiaire,Gobelin Voleur,Ils craignent le feu et fuient si vous portez une torche.,3
7,Quête,La Clé Perdue,Le maire du village a perdu sa clé dans le puits à sec.,2
8,Lore,Dynastie Solar,Les anciens rois possédaient le pouvoir de contrôler le soleil.,15
9,Equipement,Bouclier en Bois,Fragile contre les attaques de feu mais léger.,2
10,Lieu,Pic des Brumes,L'air y est rare emportez des potions d'endurance.,12
11,Bestiaire,Grymock,Géant de pierre qui dort dans les grottes de granit.,20
12,Astuce,Commerce,Vendre vos peaux de loups au marchand de nuit rapporte plus.,5
13,Lore,La Magie Bleue,Source de vie pure qui coule dans les rivières sacrées.,8
14,Equipement,Dague d'Ombre,Permet d'infliger des coups critiques dans le dos.,7
15,Lieu,Marais Putrides,Attention aux gaz toxiques utilisez un masque en cuir.,14
16,Bestiaire,Esprit Follet,Guide les voyageurs égarés mais demande souvent un tribut.,4
17,Quête,L'Herbe de Vie,Une plante rare qui ne pousse que sur les sommets enneigés.,18
18,Lore,Le Traître,Kaelith a trahi les siens pour le pouvoir de l'ombre.,25
19,Equipement,Armure d'Écailles,Excellente protection contre les morsures de monstres.,11
20,Astuce,Navigation,Les étoiles indiquent toujours la direction de la capitale.,1
21,Bestiaire,Araignée Géante,Leurs toiles peuvent être brûlées pour passer.,6
22,Lieu,Désert de Sel,L'eau y est plus précieuse que l'or.,16
23,Lore,L'Éclat d'Ambre,Fragment du cœur de la terre capable de soigner les terres.,30
24,Quête,Sceau Brisé,Il faut retrouver les trois morceaux du sceau royal.,22
25,Equipement,Bâton de Sage,Augmente la régénération de mana de 15%.,9
26,Bestiaire,Harpie,Attaque en groupe depuis les hauteurs rocheuses.,13
27,Astuce,Cuisine,Cuire la viande augmente ses bonus de défense.,3
28,Lieu,Forêt Interdite,Ceux qui y entrent sans amulette perdent la mémoire.,21
29,Lore,Le Premier Mage,Il a appris le langage des dragons il y a des millénaires.,40
30,Quête,Le Pont de Pierre,Aidez le maçon à réparer le pont pour débloquer l'est.,4
31,Bestiaire,Squelette Guerrier,Résiste aux flèches utilisez des armes contondantes.,8
32,Equipement,Arc Long,Permet de toucher des cibles à très longue distance.,5
33,Lieu,Grotte de Cristal,Source principale de gemmes pour les enchantements.,17
34,Astuce,Discrétion,S'accroupir dans les hautes herbes réduit la détection.,2
35,Lore,La Comète Rouge,Son passage annonce le réveil des anciens démons.,35
36,Quête,L'Enfant Perdu,Retrouvez le fils du berger dans les collines du sud.,3
37,Bestiaire,Basilic,Son regard pétrifie portez un bouclier poli comme miroir.,28
38,Equipement,Anneau de Force,Augmente le poids transportable de 20kg.,10
39,Lieu,Île Flottante,Accessible uniquement par le portail dimensionnel.,45
40,Astuce,Repos,Dormir dans une auberge donne un bonus d'expérience.,1